Date/Hour CET/CEST;Imbalance Purchase Price;Imbalance;Solar;Wind;Consumption Total
01.01.2022/00:00;90;-18,177013;0,007103;143,012268;4792,869828
01.01.2022/01:00;98;-59,943565;0,006957;172,359272;4758,08574
01.01.2022/02:00;132,08;-75,072958;0,005352;151,651271;4699,710585
01.01.2022/03:00;111,44;-63,208075;0,011802;160,572272;4660,590629
01.01.2022/04:00;112,35;-20,137965;0,00687;148,140274;4673,579369
01.01.2022/05:00;113,9;2,829898;0,007361;147,788267;4726,909882
01.01.2022/06:00;93;27,044565;0,004673;126,612263;4857,030848
01.01.2022/07:00;83;81,336011;0,004582;98,503259;4932,794613
01.01.2022/08:00;60;64,83579;0,008858;61,765257;5067,692675
01.01.2022/09:00;60;134,624681;0,005348;46,579256;5178,555808
01.01.2022/10:00;83;107,983001;0,007155;31,795261;5344,532619
01.01.2022/11:00;89;62,791115;0,012957;16,97026;5443,009105
01.01.2022/12:00;65;102,160266;0,011638;34,76226;5461,777621
01.01.2022/13:00;50,21;142,797803;0,007154;59,662264;5432,608459
01.01.2022/14:00;56;60,464067;0,007583;100,916268;5520,141749
01.01.2022/15:00;105;10,729099;0,004855;122,153272;5592,657353
01.01.2022/16:00;102;46,118898;0,010271;138,581274;5723,608623
01.01.2022/17:00;102;59,415635;0,005045;132,380276;5764,442332
01.01.2022/18:00;102;128,22637;0,006447;181,219278;5666,743174
01.01.2022/19:00;80;182,781105;0,008288;190,451272;5539,533323
01.01.2022/20:00;80;95,138804;0,008986;187,490275;5406,236231
01.01.2022/21:00;42,95;82,818672;0,010995;181,885278;5265,106133
01.01.2022/22:00;42,48;76,390662;0,007341;169,192278;5077,110645
01.01.2022/23:00;28;83,003049;0,007812;165,865279;4933,082405
02.01.2022/00:00;27;-101,891323;0,003767;153,636273;4759,141913
02.01.2022/01:00;111,66;-80,343759;0,003884;84,735259;4576,572465
02.01.2022/02:00;106,53;-68,346416;0,003211;43,907255;4483,517701
02.01.2022/03:00;104,5;-67,274526;0,008248;26,980256;4464,900629
02.01.2022/04:00;75;-27,745108;0,003983;29,713253;4409,555695
02.01.2022/05:00;27;-16,066986;0,00235;32,499;4419,316034
02.01.2022/06:00;27;46,226143;0,002093;28,814;4493,40703
02.01.2022/07:00;64;26,064615;0,003478;30,084;4580,526131
02.01.2022/08:00;70;49,980034;0,003281;30,676256;4702,290387
02.01.2022/09:00;70;71,068379;0,006497;31,560259;4848,878085
02.01.2022/10:00;90;114,169444;0,004277;30,924;4974,353688
02.01.2022/11:00;121,3;73,99049;0,006092;27,352;5093,477204
02.01.2022/12:00;112,43;8,225467;0,006589;27,801;5148,657176
02.01.2022/13:00;111,39;-5,082276;0,006479;42,594;5158,720295
02.01.2022/14:00;126;10,797508;0,003301;41,723262;5189,408249
02.01.2022/15:00;141;27,470744;0,005073;49,707269;5301,057149
02.01.2022/16:00;140,16;55,462507;0,002642;64,122266;5421,750681
02.01.2022/17:00;144,5;121,353455;0,003435;73,450267;5397,062737
02.01.2022/18:00;144,5;194,32949;0,003388;85,504271;5290,845745
02.01.2022/19:00;144,5;286,582086;0,004982;114,225273;5181,635913
02.01.2022/20:00;30;248,30152;0,003517;125,277273;5161,200101
02.01.2022/21:00;27;225,097415;0,004471;119,775272;5079,907323
02.01.2022/22:00;27;212,571379;0,007516;127,164274;4932,426194
02.01.2022/23:00;24,5;366,047252;0,003126;134,657271;4747,048809
03.01.2022/00:00;15;307,46564;0,005087;134,148271;4538,806232
03.01.2022/01:00;15;396,799794;0,005279;139,734268;4408,369566
03.01.2022/02:00;12;379,563156;0,003921;146,728269;4328,057524
03.01.2022/03:00;12;392,964655;0,003267;140,263272;4295,678776
03.01.2022/04:00;15,5;375,181906;0,002248;124,162265;4349,336037
03.01.2022/05:00;15,5;242,502894;0,007123;91,336258;4510,314044
03.01.2022/06:00;23,82;224,282791;0,003594;66,666257;4985,711767
03.01.2022/07:00;26;216,82526;0,002726;82,984258;5491,249286
03.01.2022/08:00;100;115,45191;0,002747;83,621261;5750,12365
03.01.2022/09:00;115,5;98,236086;0,003693;80,731264;5783,826052
03.01.2022/10:00;100;27,856121;0,004253;82,412265;5777,549338
03.01.2022/11:00;123,13;-108,527825;0,002839;63,417262;5751,433694
03.01.2022/12:00;123,97;-231,156855;0,014467;46,281259;5732,823005
03.01.2022/13:00;126,67;-175,767481;0,012188;53,49326;5672,768194
03.01.2022/14:00;133,75;-104,044441;0,004656;69,423263;5660,516051
03.01.2022/15:00;137,72;6,433123;0,005121;108,966272;5671,699221
03.01.2022/16:00;137,48;5,297946;0,001985;127,153288;5702,428705
03.01.2022/17:00;143,73;-13,25876;0,002756;130,859282;5598,097435
03.01.2022/18:00;145,13;37,988087;0,003118;120,567283;5461,655443
03.01.2022/19:00;142,81;163,389234;0,004902;117,248286;5364,69931
03.01.2022/20:00;142,22;154,46564;0,00848;100,134288;5313,135992
03.01.2022/21:00;139,6;121,688243;0,003396;83,580266;5212,275894
03.01.2022/22:00;130,79;29,670424;0,00366;74,75128;5060,912962
03.01.2022/23:00;113,64;-16,908358;0,003046;75,608266;4920,481291
04.01.2022/00:00;131,71;48,104942;0,002383;89,477272;4735,742525
04.01.2022/01:00;131,87;40,108932;0,004812;102,322272;4620,019759
04.01.2022/02:00;128,56;-2,055726;0,007004;109,117276;4588,990886
04.01.2022/03:00;115,49;-50,716507;0,003367;100,514277;4614,205935
04.01.2022/04:00;113,38;-59,561379;0,002403;108,01827;4672,512797
04.01.2022/05:00;133,06;-51,516506;0,003026;116,932262;4855,93964
04.01.2022/06:00;156;-59,607018;0,003113;127,369264;5376,073055
04.01.2022/07:00;170;-115,046916;0,006291;144,360261;5935,04706
04.01.2022/08:00;185;-133,357252;0,004305;140,590259;6187,330053
04.01.2022/09:00;170,19;-166,524999;0,004783;114,424259;6187,407372
04.01.2022/10:00;169;-124,21194;0,064759;89,763258;6114,911149
04.01.2022/11:00;164,62;-78,091687;0,185424;90,627261;6017,501516
04.01.2022/12:00;168;29,198847;0,221742;79,83026;5933,962557
04.01.2022/13:00;163;-43,167498;0,145724;59,367256;5897,541792
04.01.2022/14:00;164,33;-57,169633;0,034281;48,347265;5919,300277
04.01.2022/15:00;171;-73,443985;0,001861;46,748265;6058,450935
04.01.2022/16:00;177,5;-100,878044;0,001394;44,008264;6192,574303
04.01.2022/17:00;178,6;-52,341713;0,001985;35,901264;6116,141055
04.01.2022/18:00;178,6;-48,487154;0,001121;41,851;6013,502185
04.01.2022/19:00;170;-74,739954;0,005893;33,426;5915,576206
04.01.2022/20:00;147;-120,446379;0,000865;20,276;5835,945104
04.01.2022/21:00;141,57;-111,605191;0,000913;12,196;5692,029287
04.01.2022/22:00;137,22;-133,038973;0,000481;7,71;5456,584904
04.01.2022/23:00;114,25;-110,036942;0,000043;2,632;5203,618573
05.01.2022/00:00;133,14;-25,303478;0,006006;3,92;4965,484655
05.01.2022/01:00;123,38;-31,886459;0,001014;1,444;4838,95444
05.01.2022/02:00;111,65;-26,974038;0,00134;0,436;4764,263836
05.01.2022/03:00;103,37;-30,159232;0,000741;0,12;4775,547229
05.01.2022/04:00;105,86;6,250438;0,001608;0,658;4769,799447
05.01.2022/05:00;121,68;-30,929685;0,005953;7,627;4923,643133
05.01.2022/06:00;138,33;-25,437015;0,001882;59,051257;5446,649608
05.01.2022/07:00;153,5;12,498644;0,001192;88,488262;6035,080078
05.01.2022/08:00;160;110,571546;0,002667;113,088261;6275,872121
05.01.2022/09:00;149;134,553115;0,003305;121,372264;6275,851528
05.01.2022/10:00;149;151,410705;0,054101;155,19427;6227,026689
05.01.2022/11:00;149;163,408832;0,219832;149,278268;6144,276572
05.01.2022/12:00;149;213,894005;0,305892;155,832272;6048,393686
05.01.2022/13:00;136,87;312,898065;0,228042;166,903267;5967,958141
05.01.2022/14:00;136,61;351,894374;0,036169;177,012269;5952,90472
05.01.2022/15:00;137,05;258,753846;0,00179;179,374268;6060,166352
05.01.2022/16:00;141,67;172,253866;0,007269;192,058267;6234,200717
05.01.2022/17:00;148,09;180,408908;0,002595;195,61927;6176,156386
05.01.2022/18:00;143,76;156,475326;0,0037;195,913272;6080,155151
05.01.2022/19:00;140,09;178,908416;0,001548;197,461274;6000,854698
05.01.2022/20:00;137,65;139,640521;0,003768;196,490276;5911,063332
05.01.2022/21:00;139;118,04546;0,003905;189,132269;5779,757924
05.01.2022/22:00;136,92;98,129811;0,00525;186,485268;5596,731072
05.01.2022/23:00;135,52;105,675799;0,004322;176,849271;5364,266175
06.01.2022/00:00;124;242,00817;0,008321;174,193271;5205,754913
06.01.2022/01:00;124;222,265155;0,00307;160,958274;5102,091047
06.01.2022/02:00;113,5;258,159471;0,003258;175,999274;5027,335923
06.01.2022/03:00;124;252,159689;0,004667;177,638272;5052,606349
06.01.2022/04:00;124,5;192,714071;0,003053;178,914269;5116,905954
06.01.2022/05:00;143;164,685346;0,004098;175,508265;5315,19221
06.01.2022/06:00;143;122,160182;0,006397;162,259261;5881,607214
06.01.2022/07:00;185;-5,371823;0,004958;108,875255;6430,927194
06.01.2022/08:00;210;99,273124;0,002641;96,220262;6498,732206
06.01.2022/09:00;210;56,360919;0,006133;117,589262;6481,353005
06.01.2022/10:00;267;48,622913;0,082809;143,727258;6424,574974
06.01.2022/11:00;267;26,213645;0,243173;100,420257;6341,709122
06.01.2022/12:00;267;164,545859;0,304041;61,20726;6240,796006
06.01.2022/13:00;209,47;312,492091;0,255504;47,455262;6146,729917
06.01.2022/14:00;146;330,1809;0,075408;28,883259;6220,144278
06.01.2022/15:00;146;309,608508;0,004006;12,385258;6292,421442
06.01.2022/16:00;146;256,526406;0,00822;5,833258;6492,203554
06.01.2022/17:00;146;218,729606;0,003264;33,993262;6484,444971
06.01.2022/18:00;148,5;282,639329;0,00282;35,093264;6396,728442
06.01.2022/19:00;142;252,397867;0,003652;27,208263;6318,753292
06.01.2022/20:00;142;213,053208;0,006777;27,320265;6244,849842
06.01.2022/21:00;142;224,957936;0,003541;30,743266;6192,806318
06.01.2022/22:00;159;202,149517;0,003906;22,860266;6154,569628
06.01.2022/23:00;154;173,532988;0,004017;20,197269;5957,833979
07.01.2022/00:00;142;2,058917;0,006578;24,255269;5737,980322
07.01.2022/01:00;129,44;-40,007927;0,002909;19,747267;5595,170546
07.01.2022/02:00;133;-69,464878;0,003256;22,643268;5528,146873
07.01.2022/03:00;135;-54,610559;0,004547;32,020269;5491,435344
07.01.2022/04:00;133;-11,089334;0,007807;49,485271;5510,070393
07.01.2022/05:00;127,17;-3,787487;0,003455;62,510263;5676,513899
07.01.2022/06:00;125;-42,523426;0,003957;57,787262;6165,317407
07.01.2022/07:00;130;-63,075549;0,003604;83,417263;6729,976822
07.01.2022/08:00;130;-40,327128;0,002895;128,565272;6968,990364
07.01.2022/09:00;132;-14,881338;0,010826;175,361275;6958,035818
07.01.2022/10:00;132;-24,486071;0,030057;185,629273;6909,8456
07.01.2022/11:00;145;-59,726728;0,005019;188,511273;6842,235108
07.01.2022/12:00;152;-36,371295;0,002791;188,716274;6770,837857
07.01.2022/13:00;161,15;-48,210435;0,002692;182,546276;6713,597301
07.01.2022/14:00;162,6;-28,677328;0,007734;183,256277;6651,076757
07.01.2022/15:00;177,62;54,134396;0,003054;184,68928;6559,751247
07.01.2022/16:00;195,71;23,695317;0,002392;173,828273;6467,53558
07.01.2022/17:00;150,5;42,149218;0,004037;157,401273;6354,753219
07.01.2022/18:00;150;57,333075;0,00644;155,324273;6217,179304
07.01.2022/19:00;150;122,869111;0,003325;140,469273;6159,309987
07.01.2022/20:00;150;-0,599751;0,004182;115,078276;6076,84548
07.01.2022/21:00;144;11,168981;0,004101;93,39927;5866,717792
07.01.2022/22:00;144;-20,085317;0,004575;60,93227;5649,520587
07.01.2022/23:00;149,83;-94,301206;0,008091;43,412273;5472,922852
08.01.2022/00:00;148,59;-67,345792;0,007179;39,109269;5310,088885
08.01.2022/01:00;146,08;-13,551646;0,005354;38,131268;5167,484462
08.01.2022/02:00;123,5;7,336593;0,003094;25,469267;5069,673772
08.01.2022/03:00;124;-43,638514;0,004992;22,520265;5030,210366
08.01.2022/04:00;125,1;27,298157;0,007902;22,992265;5000,77211
08.01.2022/05:00;130,5;37,161571;0,004595;20,833266;5035,49891
08.01.2022/06:00;124;69,296786;0,002886;20,689263;5164,146261
08.01.2022/07:00;121,5;79,154201;0,004423;17,60726;5305,102301
08.01.2022/08:00;121,5;36,9161;0,002689;14,899257;5522,439889
08.01.2022/09:00;129,55;2,481413;0,008175;5,808255;5743,267165
08.01.2022/10:00;142;-85,297319;0,0051;3,054262;5938,188984
08.01.2022/11:00;172;-82,754871;0,006216;1,247262;5977,576771
08.01.2022/12:00;172;-51,044141;0,004108;0,062;5930,929092
08.01.2022/13:00;170;-33,512609;0,004152;0,289266;5893,770553
08.01.2022/14:00;151,66;0,305717;0,004869;0,289266;5880,284285
08.01.2022/15:00;154,28;21,074672;0,00382;0;5953,887189
08.01.2022/16:00;156,34;34,992656;0,005042;0,145264;6064,616071
08.01.2022/17:00;145;22,965086;0,007937;0,505262;6095,265803
08.01.2022/18:00;148,37;32,306949;0,004621;1,153266;6028,438002
08.01.2022/19:00;140,08;131,018813;0,003621;4,105272;5851,128659
08.01.2022/20:00;128,05;158,262368;0,008228;3,638272;5643,717713
08.01.2022/21:00;126,62;152,444552;0,005181;1,89027;5475,125266
08.01.2022/22:00;123,19;191,989434;0,002706;1,981273;5285,791806
08.01.2022/23:00;121,94;211,028632;0,007564;2,780267;5149,616809
09.01.2022/00:00;125,33;70,32961;0,004836;5,310267;5006,416263
09.01.2022/01:00;115,15;53,393956;0,004456;6,193264;4894,28972
09.01.2022/02:00;111,68;67,277009;0,008013;8,795266;4778,481486
09.01.2022/03:00;108,92;47,399973;0,004405;7,559267;4726,225117
09.01.2022/04:00;102,63;44,403411;0,003475;10,231267;4714,568389
09.01.2022/05:00;99,61;57,057975;0,004233;15,577266;4732,309387
09.01.2022/06:00;101,66;98,941625;0,003301;16,531265;4808,121408
09.01.2022/07:00;101,68;117,265735;0,008833;18,740263;4923,546058
09.01.2022/08:00;111,87;115,93127;0,004329;24,516261;5100,546827
09.01.2022/09:00;128,56;113,919916;0,001881;29,039257;5274,805761
09.01.2022/10:00;156;119,519103;0,002458;24,644257;5434,243143
09.01.2022/11:00;156;126,506793;0,004513;20,555256;5521,536143
09.01.2022/12:00;157,55;125,178466;0,009329;21,161253;5556,096078
09.01.2022/13:00;158;147,736081;0,003922;24,299253;5558,209522
09.01.2022/14:00;157,55;150,20968;0,004548;22,263255;5596,505269
09.01.2022/15:00;157,55;160,524002;0,004648;34,414258;5676,057092
09.01.2022/16:00;182;145,501526;0,005362;34,245258;5676,60079
09.01.2022/17:00;239;150,569652;0,003567;29,486258;5652,197587
09.01.2022/18:00;239;156,747018;0,00527;25,801258;5591,843874
09.01.2022/19:00;200;191,547239;0,006054;28,915259;5495,059913
09.01.2022/20:00;168;110,254888;0,00902;35,23926;5543,429701
09.01.2022/21:00;159,54;146,012411;0,004616;44,25426;5426,682274
09.01.2022/22:00;159,54;253,935115;0,005195;45,98826;5270,519184
09.01.2022/23:00;157;288,428083;0,002625;47,106262;5054,385965
10.01.2022/00:00;155;278,381611;0,003526;48,147264;4858,010297
10.01.2022/01:00;127;307,724416;0,00451;48,701264;4705,698051
10.01.2022/02:00;121,5;336,199276;0,005337;48,436265;4623,47956
10.01.2022/03:00;121,5;336,546688;0,008005;43,456262;4596,580038
10.01.2022/04:00;121,5;328,578564;0,004389;34,906265;4651,700679
10.01.2022/05:00;130;321,780071;0,003241;19,61726;4830,902429
10.01.2022/06:00;140;278,117615;0,003611;14,906;5313,451627
10.01.2022/07:00;249;176,466059;0,00323;11,523;5774,866458
10.01.2022/08:00;285,72;181,976709;0,001254;10,521;5984,388691
10.01.2022/09:00;304,92;248,265951;0,007021;15,286271;5955,424058
10.01.2022/10:00;300,47;313,056684;0,001817;7,272272;5927,866563
10.01.2022/11:00;300,16;292,645788;0,002219;13,34827;5901,778576
10.01.2022/12:00;290,4;234,183823;0,005846;16,082266;5892,925949
10.01.2022/13:00;280,03;278,69206;0,005754;17,662269;5827,130937
10.01.2022/14:00;159,94;300,118196;0,005445;21,731272;5861,20063
10.01.2022/15:00;144;332,884282;0,003112;21,966269;6003,342566
10.01.2022/16:00;161,77;283,646475;0,008953;26,184268;6217,567485
10.01.2022/17:00;163,17;248,875506;0,003258;26,104269;6164,386899
10.01.2022/18:00;180,46;276,117596;0,00263;31,734275;6003,834034
10.01.2022/19:00;155,04;274,887764;0,003143;42,574279;5880,826605
10.01.2022/20:00;159,78;245,908687;0,00735;50,576275;5764,031118
10.01.2022/21:00;162,66;238,128448;0,004691;48,712274;5597,844285
10.01.2022/22:00;155,48;271,154191;0,004653;51,209275;5349,657395
10.01.2022/23:00;141;294,979343;0,004253;72,286277;5084,955322
11.01.2022/00:00;154,5;3,14451;0,00383;86,630274;4874,22235
11.01.2022/01:00;155;22,096314;0,007722;94,887277;4713,304677
11.01.2022/02:00;150;-0,810562;0,003664;102,611279;4646,775363
11.01.2022/03:00;150;4,354152;0,003251;95,717271;4607,37548
11.01.2022/04:00;141,56;14,533794;0,004474;90,47727;4621,97871
11.01.2022/05:00;162,5;37,708791;0,004177;95,467266;4771,384072
11.01.2022/06:00;162,5;83,789203;0,001781;93,600264;5240,953287
11.01.2022/07:00;152,28;114,353129;0,00723;81,825259;5753,475627
11.01.2022/08:00;153,76;167,83963;0,001952;90,506267;5941,895234
11.01.2022/09:00;153,54;183,152946;0,002953;83,508266;5904,157122
11.01.2022/10:00;153,47;136,783312;0,001844;93,11427;5873,342968
11.01.2022/11:00;144;93,76514;0,004667;95,800274;5850,683271
11.01.2022/12:00;144;19,39555;0,005244;98,322275;5855,909908
11.01.2022/13:00;141,5;13,79206;0,003001;97,062271;5845,400534
11.01.2022/14:00;141,5;28,967195;0,005225;102,47527;5808,963211
11.01.2022/15:00;145;66,062681;0,00598;107,714274;5826,390286
11.01.2022/16:00;156,43;45,147407;0,004648;69,368265;5898,06993
11.01.2022/17:00;168,6;86,604061;0,007544;41,811263;5818,16625
11.01.2022/18:00;150;97,733939;0,003951;34,330263;5695,162086
11.01.2022/19:00;150;191,162467;0,005155;45,638266;5543,852156
11.01.2022/20:00;141;102,232807;0,00282;30,313261;5471,762533
11.01.2022/21:00;141;116,828767;0,003695;22,708259;5325,727712
11.01.2022/22:00;141;118,413783;0,008077;10,548258;5103,505594
11.01.2022/23:00;140;132,536766;0,003212;14,84226;4882,862573
12.01.2022/00:00;143,34;5,195171;0,003371;26,307258;4678,479864
12.01.2022/01:00;140,88;-17,78857;0,004059;54,012266;4582,971163
12.01.2022/02:00;139,5;-7,039962;0,004336;62,541283;4525,424573
12.01.2022/03:00;139,25;37,399198;0,007205;84,086274;4482,295396
12.01.2022/04:00;140,12;35,909954;0,003869;107,610273;4521,583882
12.01.2022/05:00;141,79;41,748734;0,004145;121,903276;4675,865112
12.01.2022/06:00;144;46,866165;0,002862;140,385269;5173,017126
12.01.2022/07:00;150;20,992598;0,002206;156,17627;5725,231282
12.01.2022/08:00;156,5;19,865915;0,005764;165,509271;5940,2428
12.01.2022/09:00;155;69,146089;0,002529;172,73827;5868,616524
12.01.2022/10:00;134,5;29,78525;0,007247;183,193268;5812,538049
12.01.2022/11:00;134,5;-1,733762;0,127674;188,525271;5749,797616
12.01.2022/12:00;140;16,118165;0,112908;185,390269;5673,996616
12.01.2022/13:00;139,04;108,866823;0,098807;188,167282;5569,140646
12.01.2022/14:00;137,34;148,964628;0,034972;194,795284;5547,937103
12.01.2022/15:00;126;133,991625;0,002831;203,928269;5614,202427
12.01.2022/16:00;126;49,987698;0,003115;202,248284;5771,60031
12.01.2022/17:00;145;68,333209;0,006732;202,635269;5705,574029
12.01.2022/18:00;145;78,217337;0,002166;202,303277;5586,765085
12.01.2022/19:00;144;24,34667;0,003191;203,46029;5514,532106
12.01.2022/20:00;131,18;15,890116;0,003863;203,77427;5388,868484
12.01.2022/21:00;130,71;-1,116146;0,001143;204,496273;5245,988997
12.01.2022/22:00;129,11;61,64074;0,001335;205,310273;5015,390495
12.01.2022/23:00;127,81;105,22061;0,001552;199,716259;4767,726768
13.01.2022/00:00;126,48;-14,000016;0,001531;202,049281;4523,997762
13.01.2022/01:00;124,75;-28,67079;0,005437;205,515268;4367,378332
13.01.2022/02:00;122,32;-17,023139;0,001757;202,81927;4277,165673
13.01.2022/03:00;121,44;16,356077;0,002439;203,29427;4250,763441
13.01.2022/04:00;120,97;16,245537;0,002672;202,675284;4269,918305
13.01.2022/05:00;121,52;20,518531;0,001442;198,772263;4426,201185
13.01.2022/06:00;124,4;148,140734;0,001815;207,071269;4858,309302
13.01.2022/07:00;118;88,210011;0,005726;204,040251;5421,56316
13.01.2022/08:00;132,65;44,633639;0,00192;193,282276;5623,489316
13.01.2022/09:00;133,31;47,808414;0,002251;201,649253;5593,814477
13.01.2022/10:00;133,43;76,487593;0,020925;204,471271;5510,441928
13.01.2022/11:00;125;107,255225;0,107999;199,79424;5381,998319
13.01.2022/12:00;125,5;165,25453;0,221606;208,236021;5275,104786
13.01.2022/13:00;129,97;157,396569;0,201223;200,536031;5214,408114
13.01.2022/14:00;129,91;186,927853;0,055701;208,327021;5190,228072
13.01.2022/15:00;129,81;243,531929;0,008231;210,846031;5241,090154
13.01.2022/16:00;130,36;178,7408;0,006276;210,839014;5382,551127
13.01.2022/17:00;130,23;202,658172;0,008497;210,549013;5362,305816
13.01.2022/18:00;130,34;168,258344;0,007043;210,061013;5256,302981
13.01.2022/19:00;128,99;250,806139;0,008195;209,556998;5070,481206
13.01.2022/20:00;109,5;216,961435;0,010502;211,328018;4906,424135
13.01.2022/21:00;109,5;150,630286;0,008725;210,346021;4719,917184
13.01.2022/22:00;121,35;29,6571;0,007045;209,56802;4541,249362
13.01.2022/23:00;118,31;81,5342;0,009688;207,404004;4313,321164
14.01.2022/00:00;116,75;265,7391;0,008013;209,035006;4068,552485
14.01.2022/01:00;100;212,2417;0,007658;206,179074;3944,979907
14.01.2022/02:00;100,5;194,1465;0,007182;195,265275;3914,788363
14.01.2022/03:00;100,5;162,8514;0,013147;188,509274;3943,172214
14.01.2022/04:00;100,5;192,4849;0,00783;189,116272;3997,819745
14.01.2022/05:00;100;267,0096;0,008338;186,36827;4155,077059
14.01.2022/06:00;100;290,5454;0,006619;186,45826;4690,101883
14.01.2022/07:00;128,56;155,1695;0,006894;194,128253;5251,1197
14.01.2022/08:00;129,97;149,6568;0,007746;209,372259;5494,238517
14.01.2022/09:00;118;199,662403;0,033379;201,923258;5475,844941
14.01.2022/10:00;118;180,876808;0,399626;196,941259;5423,927792
14.01.2022/11:00;114;240,683322;1,012665;203,36226;5341,501222
14.01.2022/12:00;109,5;309,846959;1,318052;203,032262;5262,150185
14.01.2022/13:00;104,5;386,565556;1,060728;203,285263;5165,23483
14.01.2022/14:00;104,5;393,912998;0,41614;205,168266;5148,486085
14.01.2022/15:00;104,5;325,542353;0,015733;168,976266;5250,77666
14.01.2022/16:00;119,5;251,097832;0,005788;178,184264;5459,36211
14.01.2022/17:00;141,68;200,374043;0,004615;175,247262;5507,810322
14.01.2022/18:00;140,8;175,227762;0,009005;147,690259;5451,632162
14.01.2022/19:00;141,27;167,487037;0,007926;167,129261;5357,717236
14.01.2022/20:00;141,12;223,539168;0,00699;187,479265;5206,426995
14.01.2022/21:00;141,41;124,710206;0,007166;163,113261;5043,10444
14.01.2022/22:00;144,5;100,614874;0,005492;148,426257;4885,865963
14.01.2022/23:00;144,5;114,507733;0,009063;160,808258;4766,424378
15.01.2022/00:00;147;188,559478;0,005904;140,136265;4611,252017
15.01.2022/01:00;147;184,743468;0,006047;95,919259;4518,672586
15.01.2022/02:00;147;198,473318;0,004197;81,46226;4449,46917
15.01.2022/03:00;140,25;161,320743;0,005551;44,987258;4396,497204
15.01.2022/04:00;136;214,609115;0,005876;28,119261;4379,674692
15.01.2022/05:00;142,18;234,265321;0,008898;17,05426;4435,188419
15.01.2022/06:00;142,54;265,190203;0,004811;40,834255;4584,175293
15.01.2022/07:00;142,95;240,86566;0,004039;42,390255;4743,608994
15.01.2022/08:00;149,97;322,365097;0,004596;14,513255;4940,409688
15.01.2022/09:00;169,92;363,176427;0,003673;40,737261;5122,038361
15.01.2022/10:00;203,52;184,650397;0,016122;57,305265;5272,873799
15.01.2022/11:00;196,43;222,780326;0,028155;95,507264;5319,38041
15.01.2022/12:00;164;212,400071;0,05339;102,004015;5364,521677
15.01.2022/13:00;163;231,456238;0,028506;115,701812;5360,486452
15.01.2022/14:00;161;225,122349;0,009615;98,795867;5316,028613
15.01.2022/15:00;179,91;309,628872;0,00434;121,781018;5296,432054
15.01.2022/16:00;151,5;160,110738;0,003089;137,092119;5450,963361
15.01.2022/17:00;159,54;198,977146;0,003724;132,181119;5574,860534
15.01.2022/18:00;209,99;144,133853;0,003459;123,710068;5593,149088
15.01.2022/19:00;136;264,636159;0,008489;109,574126;5440,389265
15.01.2022/20:00;130,5;306,061431;0,0061;116,090172;5267,871586
15.01.2022/21:00;130,5;278,109897;0,005382;140,436172;5120,097371
15.01.2022/22:00;139,97;189,735678;0,004826;149,194166;4994,888451
15.01.2022/23:00;147;110,1908;0,007722;127,251318;4887,597992
16.01.2022/00:00;147;-115,914432;0,004769;146,946221;4784,80221
16.01.2022/01:00;140;-169,548917;0,004034;161,803221;4704,231412
16.01.2022/02:00;138;-195,442927;0,005265;183,894321;4637,231371
16.01.2022/03:00;138;-174,060671;0,007988;206,101325;4593,059668
16.01.2022/04:00;137,4;-166,958946;0,004272;198,634276;4593,094769
16.01.2022/05:00;137,88;-162,286554;0,003975;201,980325;4607,511383
16.01.2022/06:00;137;-134,318604;0,008466;201,924326;4680,750705
16.01.2022/07:00;137;-147,455557;0,003877;210,244373;4755,471978
16.01.2022/08:00;138;-149,639683;0,007182;210,532371;4893,224135
16.01.2022/09:00;135,19;-161,404853;0,003015;213,494168;5058,389384
16.01.2022/10:00;127,85;-165,825867;0,008833;208,076218;5225,775257
16.01.2022/11:00;127,74;-188,416746;0,092428;185,71507;5289,537189
16.01.2022/12:00;126,95;-212,11389;0,716892;155,108968;5227,201159
16.01.2022/13:00;126,41;-59,323173;0,623799;160,829611;5089,088541
16.01.2022/14:00;122,73;-15,743182;0,043239;169,771713;5082,964993
16.01.2022/15:00;140;-73,97568;0,008676;146,355711;5193,268321
16.01.2022/16:00;140;-64,853918;0,005061;178,79276;5339,206432
16.01.2022/17:00;147;12,327792;0,003531;206,845268;5290,307915
16.01.2022/18:00;147;-31,283537;0,009804;205,232019;5295,235611
16.01.2022/19:00;138;-22,898177;0,005902;204,428172;5226,294272
16.01.2022/20:00;138;-1,521052;0,003772;209,202373;5119,031619
16.01.2022/21:00;148;16,218004;0,007471;208,240272;4952,44429
16.01.2022/22:00;148;-27,452824;0,006342;207,559273;4775,231049
16.01.2022/23:00;148;-6,151212;0,01076;206,572273;4656,719948
17.01.2022/00:00;148;351,827223;0,008447;206,701275;4493,548806
17.01.2022/01:00;106;303,022923;0,008325;207,182275;4436,896095
17.01.2022/02:00;106;278,745123;0,006997;207,187276;4412,335667
17.01.2022/03:00;106;268,936623;0,007161;207,972276;4416,391475
17.01.2022/04:00;106;193,859123;0,005991;205,270274;4526,515623
17.01.2022/05:00;121,86;142,788123;0,007821;206,354271;4737,109844
17.01.2022/06:00;124,75;118,895923;0,012799;207,066261;5256,608073
17.01.2022/07:00;148;-15,953077;0,006909;200,789207;5849,61529
17.01.2022/08:00;148;-57,002677;0,005559;198,555008;6036,500148
17.01.2022/09:00;148;-58,598377;0,039904;202,070913;5985,996061
17.01.2022/10:00;148;22,188123;0,403177;194,751617;5844,141127
